Competência;Cód.Forn;Fornecedor;Material;Cód. Grupo;Grupo;Estocável;Genérico;Unid.;Class. ABC;Sub. ABC;Qtd;Custo Médio;Resíduo;Valor;
"04/2026";"1";"Completar";"400357 - PLACA/ PARAFUSO DESLIZANTE DE 95 GRAUS REF. 0702030821";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400188 - COMPONENTE ACETABULAR DE POLIETILENO CIMENTADO PRIMARIO OU";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"532,1100";"0,00";"0,00";
"04/2026";"1";"Completar";"402195 - MICRO PINCA CIRURGICA, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL / MICRO PINCA CIRURGICA, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL, TIPO DISSECCAO YASARGIL BAIONETA PONTA DE 09 MM, COMPRIMENTO DE 22 CM.";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"535,4200";"0,00";"0,00";
"04/2026";"1";"Completar";"15486 - ELETRODO DESCARTAVEL PARA USO EM BIOIMPEDANCIA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"C";"0";"1,2000";"0,00";"0,00";
"04/2026";"1";"Completar";"402908 - CARGA PARA GRAMPEADOR LINEAR REF. 0702050032";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403136 - CURETA, MODELO BECKMANN, TIPO FACA, PONTA FENESTRADA E ANGUL";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"95,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400125 - STENT FARMACOLOGICO PARA ARTERIA PERIFERICA - REF 0702040487";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"600,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"402193 - ESPATULA CIRURGICA, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL / ESPATULA CIRURGICA, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL, TIPO CEREBRAL CONVEXA FLEXIVEL PONTA DE 7 E 9 MM.";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"64,8000";"0,00";"0,00";
"04/2026";"1";"Completar";"402043 - FRESA ESFERICA 4,5X80MM DIAMANTADA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"0";"700,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400724 - PINÇA CIRÚRGICA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"12,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"402508 - AFASTADOR ARTICULAR FLEXIVEL 3 LAMINAS 10 MM X 36 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"1.675,4600";"0,00";"0,00";
"04/2026";"1";"Completar";"4462 - CURATIVO DE ALTA ABSORCAO, ISENTO DE PRATA, COMPOSTO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"C";"0";"43,5350";"0,00";"0,00";
"04/2026";"1";"Completar";"402539 - PINCA CIRURGICA, TIPO JACARE, PONTA SERRILHADA /";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"280,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403208 - PINCA ANATOMICA, TIPO DIETRICH, PONTA RETA, COMPRIMENTO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"79,1000";"0,00";"0,00";
"04/2026";"1";"Completar";"402827 - LITOTRIPSOR MECANICO BILIAR";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"0";"2.759,9800";"0,00";"0,00";
"04/2026";"1";"Completar";"400507 - INTRODUTOR ARTERIAL FEMORAL 9 F X 11 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"CM";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400294 - COMPONENTE TIBIAL REVISAO METALICO CIMENTADO OU FIXACAO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400985 - LAMINAS EM COBRE REVESTIDAS COM ELEMENTO AQUECEDOR";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"26,4100";"0,00";"0,00";
"04/2026";"1";"Completar";"400837 - INATIVO - CATETER FOGARTY P/ EMBOLECTOMIA, 3F";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"C";"0";"120,6500";"0,00";"0,00";
"04/2026";"1";"Completar";"1610 - FITA HOSPITALAR, TIPO MICROPOROSA 12MM X 9M";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"RL";"A";"A";"0";"2,4900";"0,00";"0,00";
"04/2026";"1";"Completar";"403584 - TESOURA CIRURGICA, TIPO KILNER, PONTA CURVA ROMBA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"53,4700";"0,00";"0,00";
"04/2026";"1";"Completar";"400746 - CAIXA PLASTICA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"0";"715,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"402695 - 18184 - PINCA CONTRA PORTA-AGULHA PARA VIDEOCIRURGIA 5 MM X 36 CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"2.073,6600";"0,00";"0,00";
"04/2026";"1";"Completar";"403585 - TESOURA CIRURGICA, TIPO MAYO STILLE, PONTA CURVA ROMBA/ROMBA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"0";"31,5400";"0,00";"0,00";
"04/2026";"1";"Completar";"402529 - TESOURA CIRURGICA, TIPO HEYMAN, COMPRIMENTO CERCA DE 18 CM. /";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"89,9000";"0,00";"0,00";
"04/2026";"1";"Completar";"400747 - CAIXA PLASTICA PERFURADA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"780,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400105 - CATETER GUIA P/ ANGIOPLASTIA TRANSLUMINAL PERCUTANEA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"170,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400181 - SHUNT LOMBO- PERITONAL REF. 0702010200";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"16663 - MASCARA PARA VENTILACAO NAO INVASIVA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"12";"1.200,0000";"0,00";"14.400,00";
"04/2026";"1";"Completar";"1706 - PULSEIRA P/ IDENTIFICACAO DE CADAVER FECHO INVIOLAVEL ";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"50";"0,8400";"0,00";"42,00";
"04/2026";"1";"Completar";"1727 - SERINGA, MATERIAL VIDRO, CAPACIDADE 3ML";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"10";"2,0500";"0,00";"20,50";
"04/2026";"1";"Completar";"3499 - SONDA PARA USO EM PHMETRIA (GASTROPEDIATRIA) C/ 02 SENSORES ";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"1";"280,8800";"0,00";"280,88";
"04/2026";"1";"Completar";"1819 - VEDANTE INTERNO P/ BAINHAS TIPO JANELA 5,0MM P/ USO ";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"PCT";"B";"A";"4";"67,3175";"0,00";"269,27";
"04/2026";"1";"Completar";"1820 - VEDANTE TIPO DIAFRAGMA 10,OMM DIAMETRO P/ USO ";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"PCT";"A";"A";"2";"100,0000";"0,00";"200,00";
"04/2026";"1";"Completar";"402278 - PINCA CIRURGICA, TIPO APREENSAO ATRAUMATICA, PARA VIDEO LAPAROSCOPIA, HASTE ISOLADA 5 MM X 36 CM, FENESTRADA, PONTA CURVA, ACAO MANDIBULAR, MANOPLA COM CREMALHEIRA, GIRATORIA. MATERIAL ACO INOXIDAVEL, ESTERILIZAVEL. AS PECAS DEVERAO SER GRAVADAS A L";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"0";"1.984,6600";"0,00";"0,00";
"04/2026";"1";"Completar";"402277 - CANULA (ELETRODO UNIPOLAR PARA ELETROCIRURGIA POR VIDEO), TIPO HOOK, APLICACAO DISSECCAO E COAGULACAO, DIAMETRO: 5 MM, COMPRIMENTO CERCA DE 36 CM, COM GANCHO EM ANGULO RETO, COM CONECTOR PARA ELETROCAUTERIO. COM COMPATIBILIDADE PARA SISTEMA DE RASTR";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"620,1700";"0,00";"0,00";
"04/2026";"1";"Completar";"402276 - CABO PARA PINCA MONOPOLAR - BISTURI. CABO DE 3 METROS. PLUGUE BANANA DE ? 3,97 MM PARA CONEXAO COM A SAIDA MONOPOLAR DO BISTURI. CONECTOR DE ? 2,5 MM PARA CONEXAO COM PINCAS MONOPOLARES. AUTOCLAVAVEL, EM SILICONE. COMPATIVEL COM BISTURI ELETRONICO E";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"314,1200";"0,00";"0,00";
"04/2026";"1";"Completar";"402287 - TROCATER PARA CIRURGIA VIDEOLAPAROSCOPICA, COM BAINHA TIPO DIAFRAGMA, DIAMETRO DE 5MM X 11 CM, COM CANULA DIAFRAGMA COM TORMEIRA E OBTURADOR CORRESPONTENTE. MATERIAL A?O INOXIDAVEL, AUTOCLAVAVEL. EMBALAGEM INDIVIDUAL, CONTENDO DADOS DE IDENTIFICACAO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"869,9700";"0,00";"0,00";
"04/2026";"1";"Completar";"400190 - TELA DE RECONSTRUCAO FEMORAL REF. 0702031291";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"16447 - PERNEIRA ATE A COXA TAMANHO PEQUENO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"234,0800";"0,00";"0,00";
"04/2026";"1";"Completar";"400326 - INATIVO - EQUIPO PARA IRRIGACAO 4 VIAS";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"402166 - DESCOLADOR CIRURGICO, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL, TIPO FREER AFIADO/ROMBO, COMPRIMENTO DE 18,5 CM.";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"0";"52,2500";"0,00";"0,00";
"04/2026";"1";"Completar";"1470 - DRENO CIRURGICO, MODELO KHER CALIBRE 14 FR";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"20";"13,9944";"0,00";"279,89";
"04/2026";"1";"Completar";"403158 - CURETA, MODELO ERMIRO LIMA, TIPO RETA, COMPRIMENTO CERCA DE";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"C";"0";"123,5000";"0,00";"0,00";
"04/2026";"1";"Completar";"401423 - CESTA EXTRATORA (BASKET) PARA URETERORRENOSCOPIO SEMI RIGIDO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"0";"463,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403913 - PINCA CIRURGICA, TIPO DEBAKEY, MODELO HARKEN, PONTA CURVA";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"385,5800";"0,00";"0,00";
"04/2026";"1";"Completar";"403973 - TESOURA CIRURGICA, TIPO METZENBAUM, PONTA CURVA, COMPRIMENTO CERCA DE 16 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"33,4900";"0,00";"0,00";
"04/2026";"1";"Completar";"403938 - TESOURA CIRURGICA, TIPO MAYO HARRIGNTON, PONTA CURVA ROMBA/ ROMBA, COMPRIMENTO CERCA DE 22 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"90,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403917 - PINCA ARTICULADA CORTANTE, MODELO KERRISON, ANGULO DA PONTA 130 GRAUS ,DIAMETRO PONTA CERCA DE 3,0 MM,";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"1.768,8800";"0,00";"0,00";
"04/2026";"1";"Completar";"403925 - PINCA CIRURGICA, TIPO ADSON, PONTA RETA, 1 X 2 DENTE, COMPRIMENTO CERCA DE 12 CM, SEM CREMALHEIRA";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"18,3800";"0,00";"0,00";
"04/2026";"1";"Completar";"403933 - TESOURA CIRURGICA, TIPO MAYO HEGAR, PONTA CURVA ROMBA  COMPRIMENTO CERCA DE 16 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"52,2500";"0,00";"0,00";
"04/2026";"1";"Completar";"403922 - PINCA CIRURGICA, TIPO ADSON, PONTA RETA, SERRILHADA, COMPRIMENTO CERCA DE 12 CM, SEM CREMALHEIRA.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"18,3800";"0,00";"0,00";
"04/2026";"1";"Completar";"401863 - FIO GUIA DIRIGIVEL 0,014 X 300CM PONTA CURVA OU RETA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"C";"30";"233,8063";"0,00";"7.014,19";
"04/2026";"1";"Completar";"403975 - TESOURA CIRURGICA, TIPO METZENBAUM, PONTA CURVA, COMPRIMENTO CERCA DE 18 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"C";"0";"41,5600";"0,00";"0,00";
"04/2026";"1";"Completar";"404461 - ELETRODO UNIPOLAR PARA ELETROCIRURGIA POR VIDEO";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"4";"861,0000";"0,00";"3.444,00";
"04/2026";"1";"Completar";"402642 - MASCARA LARINGEA EM SILICON, PARA PACIENTES COM 10 A 20 KG TAM. 2";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"15";"145,0000";"0,00";"2.175,00";
"04/2026";"1";"Completar";"404092 - PINCA CIRURGICA, TIPO FAURE, PONTA CURVA, 1 X 2 DENTE";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"72,0300";"0,00";"0,00";
"04/2026";"1";"Completar";"403617 - TUBO DE SILICON FLEXIVEL LUMEN INTERNO DE 1,8 A 2,0 MM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"M";"A";"B";"0";"7,3260";"0,00";"0,00";
"04/2026";"1";"Completar";"403405 - DRENO DE TORAX CALIBRE 14";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"36";"22,9300";"0,00";"825,48";
"04/2026";"1";"Completar";"403966 - TESOURA CIRURGICA, TIPO METZENBAUM, PONTA CURVA, COMPRIMENTO CERCA DE 14 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"32,1100";"0,00";"0,00";
"04/2026";"1";"Completar";"3662 - ESTETOSCOPIO DUPLO ADULTO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"22";"85,0000";"0,00";"1.870,00";
"04/2026";"1";"Completar";"403135 - PINCA CIRURGICA, EM ACO INOX, USO HOSPITALAR, AUTOCLAVAVEL";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"0";"20,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"3761 - LINHA DE SANGUE ARTERIAL NEO-NATAL SEM CATABOLHA,";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"46,0199";"0,00";"0,00";
"04/2026";"1";"Completar";"403049 - CATETER VENOSO CENTRAL DUPLO LUMEN 4 FR 10 A 15 CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"401377 - PINCA DE BIOPSIA BETTOCCHI 5FR";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"2.755,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"402149 - REGUA DE INOX COM ESCALA MILIMETRICA 30 CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"6,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"402239 - CAPACETE PARA OXIGENOTERAPIA RN ACIMA 3600 GRAMAS";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"3";"364,0000";"0,00";"1.092,00";
"04/2026";"1";"Completar";"403159 - AFASTADOR CIRURGICO, TIPO 1 GUTHRIE, EM ACO INOXIDAVEL, COMP";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"88,4700";"0,00";"0,00";
"04/2026";"1";"Completar";"403201 - PINCA CIRURGICA, TIPO HALSTEAD MOSQUITO, PONTA RETA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"25,8100";"0,00";"0,00";
"04/2026";"1";"Completar";"401028 - INATIVO - CATETER DIAGNOSTICO AMPLATZ CURVA AR 3 PERFIL 5F X 100CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"CM";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400353 - PLACA PARA CALCANEO INCLUI PARAFUSOS REF. 0702031046";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400395 - FIO GUIA HIDROFILICO 0,35 X 260, EM J (CURVO)TROCA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"CM";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400841 - FIO DE SUTURA POLIPROPILENO, 4-0, C/ 2 AGULHAS 1/2, C/ 75CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"A";"0";"9,0100";"0,00";"0,00";
"04/2026";"1";"Completar";"402237 - CAPACETE PARA OXIGENOTERAPIA RN DE 1000 A 3600 GRAMAS";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"3";"292,0000";"0,00";"876,00";
"04/2026";"1";"Completar";"401509 - INATIVO - FIO OSSEO LISO TIPO STEINMAN/KIRSCHNER 1,5MM X 30CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"7,1000";"0,00";"0,00";
"04/2026";"1";"Completar";"403161 - PORTA AGULHA, TIPO DERF COM VIDEA, COMPRIMENTO CERCA DE 12CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"190,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403162 - CURETA, MODELO ERMIRO LIMA, TIPO EM J, COMPRIMENTO CERCA DE";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"123,5000";"0,00";"0,00";
"04/2026";"1";"Completar";"400217 - BOMBA IMPLANTAVEL DE INFUSAO DE FARMACOS NO SISTEMA NERVOSO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403087 - DESCOLADOR CIRURGICO, TIPO COBB, COMPRIMENTO CERCA DE 25 CM, PONTA CERCA DE 10 MM. MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL ATE 135 GRAUS C. COM COMPATIBILIDADE PARA SISTEMA DE RASTREABILIDADE. LOTE, LOGOMARCA DO FABRICANTE E AS INICIAIS DO HOSPITAL, U";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"227,9500";"0,00";"0,00";
"04/2026";"1";"Completar";"402904 - TESOURA CIRURGICA, TIPO METZENBAUM, PONTA RETA, COMPRIMENTO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"32,1100";"0,00";"0,00";
"04/2026";"1";"Completar";"16107 - INATIVO - FILTRO HIDROFOBICO ELETROSTATICO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"0";"11,4000";"0,00";"0,00";
"04/2026";"1";"Completar";"401363 - KIT PARA BIOPSIA DE MEDULA OSSEA 16G X 75MM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400270 - PLACAS TORACO- LOMBO- SACRAL ASSOCIADAS A PARAFUSOS";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400923 - FRASCO PARA ASPIRACAO 3 LITROS";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"209,4900";"0,00";"0,00";
"04/2026";"1";"Completar";"3953 - TUBO ENDOTRAQUEAL COM CUFF CALIBRE 2,5";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"5,2000";"0,00";"0,00";
"04/2026";"1";"Completar";"403923 - PINCA CIRURGICA, TIPO LOVE GRUENWALD, PONTA BOCA PARA CIMA, HASTE ANGULADA, PONTA CERCA DE 3 X 10 MM, COMPRIMENTO CERCA DE 18 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"B";"A";"0";"534,5000";"0,00";"0,00";
"04/2026";"1";"Completar";"400350 - PLACA EM T 4,5 MM INCLUI PARAFUSOS REF. 0702031003";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"C";"0";"376,8400";"0,00";"0,00";
"04/2026";"1";"Completar";"400254 - MARCAPASSO CARDIACO MULTIPROGRAMAVEL DE CAMARA UNICA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"C";"0";"4.010,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403967 - TESOURA CIRURGICA, TIPO MAYO STILLE, PONTA RETA ROMBA/ ROMBA, COMPRIMENTO CERCA DE 18 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"39,9600";"0,00";"0,00";
"04/2026";"1";"Completar";"403621 - FIO DE CERCLAGEM 1,5 MM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"23";"3,5500";"0,00";"81,65";
"04/2026";"1";"Completar";"403914 - PINCA CIRURGICA, TIPO DEBAKEY, PONTA ANGULADA, TIPO VASCULAR";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"564,0800";"0,00";"0,00";
"04/2026";"1";"Completar";"400634 - ELETRODO BISTURI PARA TRATO GENITAL INFERIOR, ALCA10MMX10MM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"958,5100";"0,00";"0,00";
"04/2026";"1";"Completar";"403969 - TESOURA CIRURGICA, TIPO METZENBAUM, PONTA CURVA, COMPRIMENTO CERCA DE 16 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"32,1100";"0,00";"0,00";
"04/2026";"1";"Completar";"1579 - FIO DE SUTURA NYLON, FIO 9-0, AGULHA 3/8, COMP. 13 CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"B";"0";"54,7200";"0,00";"0,00";
"04/2026";"1";"Completar";"402121 - SERINGA DESC. DE 60ML LUER SLIP, S/ AGULHA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"905";"1,7400";"0,00";"1.574,70";
"04/2026";"1";"Completar";"8940 - AGULHA DE PUNCAO INTRA-OSSEA PEDIATRICO, CALIBRE 18G";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"23";"1.089,0000";"0,00";"25.047,00";
"04/2026";"1";"Completar";"403919 - PINCA ARTICULADA CORTANTE, MODELO KERRISON, ANGULO DA PONTA 130?, DIAMETRO PONTA CERCA DE 5,0 MM,";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"1.768,8800";"0,00";"0,00";
"04/2026";"1";"Completar";"403924 - PINCA CIRURGICA, TIPO LOVE GRUENWALD, PONTA BOCA PARA BAIXO, HASTE ANGULADA, PONTA CERCA DE 3 X 10 MM, COMPRIMENTO CERCA DE 18 CM,";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"534,5000";"0,00";"0,00";
"04/2026";"1";"Completar";"403921 - PINCA CIRURGICA, TIPO LOVE GRUENWALD, PONTA BOCA RETA, HASTE ANGULADA, PONTA CERCA DE 3 X 10 MM, COMPRIMENTO CERCA DE 18 CM,";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"534,5000";"0,00";"0,00";
"04/2026";"1";"Completar";"403915 - PINCA CIRURGICA, TIPO DEBAKEY, MODELO ANATOMICA, PONTA RETA";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"310,5600";"0,00";"0,00";
"04/2026";"1";"Completar";"403947 - PINCA PARA ENDOSCOPIO, TIPO JACARE, EM METAL 2,3MM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"800,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400385 - CATETER DIAGNOSTICO JUDKINS 5F JL 4,0 X 100 CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"49,3036";"0,00";"0,00";
"04/2026";"1";"Completar";"403963 - PORTA- AGULHA, TIPO MAYO HEGAR, PONTA RETA, COM VIDEA, COMPRIMENTO CERCA DE 14 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"B";"B";"0";"153,1200";"0,00";"0,00";
"04/2026";"1";"Completar";"400184 - FIO DE CERCLAGEM 0,8 MM LISO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"35";"34,0000";"0,00";"1.190,00";
"04/2026";"1";"Completar";"901 - KIT COM CATETER URETERAL CALIBRE 5FR,";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"57";"103,1699";"0,01";"5.880,69";
"04/2026";"1";"Completar";"403968 - PORTA- AGULHA PARA CORONARIA, TIPO RYDER (RAYDER), PONTA RETA, COM TRAVA, COM VIDEA, COMPRIMENTO CERCA DE 18 CM,";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"C";"C";"0";"304,0100";"0,00";"0,00";
"04/2026";"1";"Completar";"404421 - FRASCO COLETOR PARA ASPIRADORES PORTATEIS 5000ML";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"30";"765,6700";"0,00";"22.970,10";
"04/2026";"1";"Completar";"403791 - PINCA CIRURGICA, TIPO MOYNIHAN, PONTA CURVA";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"100,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403842 - PORTA-AGULHA, TIPO MICROVASCULAR, PONTA RETA, COM VIDEA 22CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"310,0100";"0,00";"0,00";
