Competência;Cód.Forn;Fornecedor;Material;Cód. Grupo;Grupo;Estocável;Genérico;Unid.;Class. ABC;Sub. ABC;Qtd;Custo Médio;Resíduo;Valor;
"04/2026";"1";"Completar";"400835 - DRENO DE TORAX CALIBRE 22";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"29";"13,8500";"0,00";"401,65";
"04/2026";"1";"Completar";"1771 - SONDA NASOGASTRICA LONGA CALIBRE N. 12";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"150";"2,0000";"0,00";"300,00";
"04/2026";"1";"Completar";"6428 - MASCARA PARA ANESTESIA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"32,1000";"0,00";"0,00";
"04/2026";"1";"Completar";"404387 - MICRO PINCA CIRURGICA, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL, TIPO DISSECCAO YASARGIL BAIONETA PONTA DE 06 MM, COMPRIMENTO DE 22 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"B";"A";"0";"400,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400328 - PARAFUSO MALEOLAR REF. 0702030740";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"26,9900";"0,00";"0,00";
"04/2026";"1";"Completar";"404393 - PINCA PARA ENDOSCOPIO, TIPO RETIRADA DE CORPO ESTRANHO";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"B";"A";"0";"683,1700";"0,00";"0,00";
"04/2026";"1";"Completar";"3954 - TUBO ENDOTRAQUEAL COM CUFF CALIBRE 3,0";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"3,0500";"0,00";"0,00";
"04/2026";"1";"Completar";"401764 - SONDA PARA GASTROSTOMIA PERCUTANEA 16 FR COM BALAO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"52,4000";"0,00";"0,00";
"04/2026";"1";"Completar";"1679 - LUVA CIRURGICA ANTI-ALERGICA N. 7";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"PR";"A";"B";"0";"1,6300";"0,00";"0,00";
"04/2026";"1";"Completar";"3437 - AGULHA OU INJETOR DE ESCLEROSE  P/ ENDOSCOPIA ";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"18";"45,7416";"0,00";"823,35";
"04/2026";"1";"Completar";"404377 - GANCHO CIRURGICO FIBURCADO, TIPO YASARGIL, COM MOLA, GANCHO DUPLO, COMPRIMENTO CERCA DE 16 E 18 CM , PARA FIXACAO DE GALEA, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL ATE 135 GRAUS C. COM COMPATIBILIDADE PARA SISTEMA DE RASTREABILIDADE. LOTE, LOGOMARCA D";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"249,6900";"0,00";"0,00";
"04/2026";"1";"Completar";"404045 - PERA PARA APARELHO DE PRESSAO";"36";"MATERIAL HOSPITALAR";"Não";"Não";"PC";"A";"A";"0";"13,9750";"0,00";"0,00";
"04/2026";"1";"Completar";"404247 - CAMISA INTERNA TIPO BETTOCCHI DIAMETRO DE 4,3 MM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"3.500,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400333 - PLACA CALCO REF. 0702030864";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"389,9900";"0,00";"0,00";
"04/2026";"1";"Completar";"404249 - CAMISA EXTERNA TIPO BETTOCCHI DIAMETRO DE 5 MM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"3.786,5699";"0,00";"0,00";
"04/2026";"1";"Completar";"403877 - PULSEIRA PARA IDENTIFICACAO PACIENTE NEONATAL";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"2,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"1668 - LAMINA DE BISTURI N. 11";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"CX";"A";"B";"0";"22,5000";"0,00";"0,00";
"04/2026";"1";"Completar";"400307 - HASTE FEMORAL LONGA COM BLOQUEIO CEFALICO INCLUI PARAFUSOS";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"1.478,7500";"0,00";"0,00";
"04/2026";"1";"Completar";"404395 - BOCAL PARA ENDOSCOPIA DIGESTIVA, TAMANHO PEDIATRICO";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"10,2800";"0,00";"0,00";
"04/2026";"1";"Completar";"401491 - CANULA DE ASPIRACAO MANUAL INTRA UTERINA (AMIU) DIAMETRO 4MM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"4";"28,5000";"0,00";"114,00";
"04/2026";"1";"Completar";"1797 - SONDA URETRAL N. 8FR";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"0";"0,5827";"0,00";"0,00";
"04/2026";"1";"Completar";"400245 - CATETER DIAGNOSTICO DUODECAPOLAR DEFLECTIVEL 7FR";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"0";"5.794,3200";"0,00";"0,00";
"04/2026";"1";"Completar";"3955 - TUBO ENDOTRAQUEAL COM CUFF CALIBRE 3,5";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"5,1000";"0,00";"0,00";
"04/2026";"1";"Completar";"404388 - MICRO PORTA AGULHA CIRURGICO, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL, TIPO YASARGIL PONTA RETA, COMPRIMENTO DE 22,5 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"480,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400327 - PARAFUSO ESPONJOSO 6,5 MM REF. 0702030732";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"34,9900";"0,00";"0,00";
"04/2026";"1";"Completar";"404447 - AFASTADOR LANGENBECK LAMINA 50 X 16 MM 22 CM COMPRIMENTO";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"180,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"14047 - CATETER INTRODUTOR PARA PRESSAO ARTERIAL MEDIA 20G";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"65,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"401970 - PINCA DE BIOPSIA PARA COLONOSCOPIA COM CONCHA OVAL, COMPRIMENTO DE 220 A 230 CM, CANAL 2.8 MM, AUTOCLAVAVEL.";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"720,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400355 - PLACA SEMITUBULAR 4,5 MM INCLUI PARAFUSOS REF. 0702031097";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"A";"0";"262,7000";"0,00";"0,00";
"04/2026";"1";"Completar";"404381 - PINCA CIRURGICA, TIPO MIXTER, PONTA DELICADA, COM CURVATURA M?NIMA DE 75?, COMPRIMENTO CERCA DE 20 CM, COM CREMALHEIRA. MATERIAL ACO INOXIDAVEL AISI 420, AUTOCLAVAVEL ATE 135 GRAUS CENTIGRADOS COM COMPATIBILIDADE PARA SISTEMA DE RASTREABILIDADE. GA";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"89,9300";"0,00";"0,00";
"04/2026";"1";"Completar";"401685 - CATETER DE HEMODIALISE ADULTO 14 FR X 40CM PERMCATH";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"C";"17";"706,9447";"0,00";"12.018,06";
"04/2026";"1";"Completar";"401331 - FIO CIR. MONOFILAMENTO DE NYLON LACADO N. 0 C/ AG. DE 4,0CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"C";"0";"5,2200";"0,00";"0,00";
"04/2026";"1";"Completar";"1618 - FRALDA DESCARTAVEL INFANTIL TAMANHO G";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"C";"2140";"0,9700";"0,00";"2.075,80";
"04/2026";"1";"Completar";"404391 - AFASTADOR AUTOESTATICO ANDERSON-ADSON CIRURGICO, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL, TIPO ANDERSON-ADSON AFIADO 4X4 DENTES, COMPRIMENTO DE 19 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"698,7500";"0,00";"0,00";
"04/2026";"1";"Completar";"1442 - CONJUNTO DRENAGEM TORAX N. 18";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"27";"37,0000";"0,00";"999,00";
"04/2026";"1";"Completar";"403235 - FILTRO BACTERIANO E VIRAL TIPO HME NEONATAL";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"193";"8,9300";"0,00";"1.723,49";
"04/2026";"1";"Completar";"401493 - CANULA DE ASPIRACAO MANUAL INTRA UTERINA (AMIU) DIAMETRO 5MM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"4";"28,5000";"0,00";"114,00";
"04/2026";"1";"Completar";"404423 - PINCA CIRURGICA, TIPO BACKHAUS, PONTA ATRAUMATICA PARA CAMPO";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"28,7600";"0,00";"0,00";
"04/2026";"1";"Completar";"400325 - PARAFUSO ESPONJOSO 4,0 MM REF. 0702030724";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"36,6300";"0,00";"0,00";
"04/2026";"1";"Completar";"400337 - PLACA DE COMPRESSAO DINAMICA 4,5 MM ESTREITA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"316,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404339 - OFTALMOSCOPIO";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"739,9800";"0,00";"0,00";
"04/2026";"1";"Completar";"1545 - FIO DE SUTURA CATGUT SIMPLES, FIO 2-0, AGULHA 3/8";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"A";"240";"4,1200";"0,00";"988,80";
"04/2026";"1";"Completar";"1533 - FIO DE SUTURA, POLIGLATINA, FIO 6-0, VIOLETA 1/2, COMP. 70CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"B";"A";"36";"9,8999";"0,00";"356,40";
"04/2026";"1";"Completar";"878 - ATADURA DE CREPOM 10CM X 3M";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"RL";"B";"A";"0";"0,3808";"0,00";"0,00";
"04/2026";"1";"Completar";"404389 - MICROTESOURA CIRURGICA, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL, TIPO YASARGIL PONTA RETA, COMPRIMENTO DE 22,5 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"C";"0";"500,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404397 - BOCAL PARA ENDOSCOPIA DIGESTIVA, TAMANHO ADULTO";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"9,5800";"0,00";"0,00";
"04/2026";"1";"Completar";"403819 - ESCOVA P/ CITOLOGIA DE BRONCOSCOPIA P/ LAVADO BRONCOALVEOLAR";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"0";"130,2500";"0,00";"0,00";
"04/2026";"1";"Completar";"404385 - MICRO PINCA CIRURGICA, MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL, TIPO DISSECCAO PARA TUMOR YASARGIL BAIONETA COM PONTA FENESTRADA TIPO ANEL DE 3 MM, COMPRIMENTO DE 22 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"A";"0";"400,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"3785 - FIO DE SUTURA POLIGLECAPRONE C/ TRICLOSAN, FIO 4-0, 3/8";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"A";"72";"14,4555";"0,00";"1.040,80";
"04/2026";"1";"Completar";"404659 - CERA ODONTOLOGICA, TIPO UTILIDADE, APRESENTACAO EM LAMINAS, COR VERMELHA/BRANCA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"CX";"";"";"10";"26,5000";"0,00";"265,00";
"04/2026";"1";"Completar";"400345 - PLACA EM L 2,7 MM INCLUI PARAFUSOS REF. 0702030953";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"B";"0";"319,9900";"0,00";"0,00";
